Dataframe,,,,,,"group_by(StandID, Years)",,,,,,,lag inuse/landfill 5 nrows equal to year then fill with 0,,,,,,,sum across,,,
years,year,StandID,in_use,landfill,,years,StandID,in_use_yr0,landfill_yr0,in_use_yr5,landfill_yr5,,years,StandID,in_use_yr0,landfill_yr0,in_use_yr5,landfill_yr5,,years,StandID,In Use sum,landfill sum
0,0,154,0,0,,0,154,0,0,6.454365198,0,,0,154,0,0,0,0,,0,154,0,0
1,0,154,0.163991587,0,,1,154,0.163991587,0,5.959497699,0.244027502,,1,154,0.163991587,0,0,0,,1,154,0.163991587,0
2,0,154,0.148853902,0.00529819,,2,154,0.148853902,0.00529819,5.523045284,0.463999239,,2,154,0.148853902,0.00529819,0,0,,2,154,0.148853902,0.00529819
3,0,154,0.13598687,0.009839495,,3,154,0.13598687,0.009839495,5.141573436,0.646163003,,3,154,0.13598687,0.009839495,0,0,,3,154,0.13598687,0.009839495
4,0,154,0.125138195,0.013623916,,4,154,0.125138195,0.013623916,4.801337012,0.814581625,,4,154,0.125138195,0.013623916,0,0,,4,154,0.125138195,0.013623916
5,0,154,0.11580329,0.016903748,,5,154,0.11580329,0.016903748,4.48859087,0.969255105,,5,154,0.11580329,0.016903748,0,0,,5,154,6.570168487,0.016903748
6,0,154,0.107477563,0.01967899,,6,154,0.107477563,0.01967899,4.220521739,1.096431235,,6,154,0.107477563,0.01967899,6.454365198,0,,6,154,6.066975262,0.263706492
7,0,154,0.10041331,0.021949643,,7,154,0.10041331,0.021949643,3.96619775,1.213296743,,7,154,0.10041331,0.021949643,5.959497699,0.244027502,,7,154,5.623458594,0.485948882
8,0,154,0.093853647,0.023968001,,8,154,0.093853647,0.023968001,3.735929525,1.319851627,,8,154,0.093853647,0.023968001,5.523045284,0.463999239,,8,154,5.235427082,0.670131004
9,0,154,0.088050867,0.025734064,,9,154,0.088050867,0.025734064,3.522848028,1.416095888,,9,154,0.088050867,0.025734064,5.141573436,0.646163003,,9,154,4.889387879,0.840315689
10,0,154,0.082500383,0.027247833,,10,154,0.082500383,0.027247833,3.333822295,1.505464044,,10,154,0.082500383,0.027247833,4.801337012,0.814581625,,10,154,4.571091253,0.996502938
11,0,154,0.077706783,0.028761601,,11,154,0.077706783,0.028761601,3.161976222,1.581087059,,11,154,0.077706783,0.028761601,4.48859087,0.969255105,,11,154,4.298228522,1.125192837
12,0,154,0.073670067,0.02977078,,12,154,0.073670067,0.02977078,3.014185914,1.646399451,,12,154,0.073670067,0.02977078,4.220521739,1.096431235,,12,154,4.039867817,1.243067523
13,0,154,0.070390235,0.030527665,,13,154,0.070390235,0.030527665,2.883575265,1.70140122,,13,154,0.070390235,0.030527665,3.96619775,1.213296743,,13,154,3.80631976,1.350379291
14,0,154,0.067867287,0.031032254,,14,154,0.067867287,0.031032254,2.76327524,1.749526884,,14,154,0.067867287,0.031032254,3.735929525,1.319851627,,14,154,3.590715315,1.447128142
15,0,154,0.065596635,0.031536844,,15,154,0.065596635,0.031536844,2.653285837,1.797652549,,15,154,0.065596635,0.031536844,3.522848028,1.416095888,,15,154,3.39941893,1.537000888
16,0,154,0.063578277,0.032041433,,16,154,0.063578277,0.032041433,2.557041576,1.842343694,,16,154,0.063578277,0.032041433,3.333822295,1.505464044,,16,154,3.225554499,1.613128492
17,0,154,0.062064508,0.032293728,,17,154,0.062064508,0.032293728,2.46767342,1.869848113,,17,154,0.062064508,0.032293728,3.161976222,1.581087059,,17,154,3.076250422,1.678693179
18,0,154,0.06055074,0.032293728,,18,154,0.06055074,0.032293728,2.381739782,1.907663154,,18,154,0.06055074,0.032293728,3.014185914,1.646399451,,18,154,2.944126005,1.733694948
19,0,154,0.059289266,0.032546023,,19,154,0.059289266,0.032546023,2.312992872,1.938602091,,19,154,0.059289266,0.032546023,2.883575265,1.70140122,,19,154,2.822564506,1.782072907
20,0,154,0.058280087,0.032798317,,20,154,0.058280087,0.032798317,2.233935338,1.966106509,,20,154,0.058280087,0.032798317,2.76327524,1.749526884,,20,154,2.711565924,1.830450866
21,0,154,0.057018613,0.032798317,,21,154,0.057018613,0.032798317,2.175499051,1.986734823,,21,154,0.057018613,0.032798317,2.653285837,1.797652549,,21,154,2.61406019,1.875142012
22,0,154,0.056261729,0.032798317,,22,154,0.056261729,0.032798317,2.10675214,2.007363137,,22,154,0.056261729,0.032798317,2.557041576,1.842343694,,22,154,2.523935149,1.90264643
23,0,154,0.05525255,0.032798317,,23,154,0.05525255,0.032798317,2.048315853,2.031425969,,23,154,0.05525255,0.032798317,2.46767342,1.869848113,,23,154,2.436992332,1.940461471
24,0,154,0.054495666,0.033050612,,24,154,0.054495666,0.033050612,1.99675567,2.052054283,,24,154,0.054495666,0.033050612,2.381739782,1.907663154,,24,154,2.367488537,1.971652703
25,0,154,0.053738781,0.033050612,,25,154,0.053738781,0.033050612,1.948630006,2.065806492,,25,154,0.053738781,0.033050612,2.312992872,1.938602091,,25,154,2.28767412,1.999157121
26,0,154,0.053234192,0.033050612,,26,154,0.053234192,0.033050612,1.897069823,2.086434805,,26,154,0.053234192,0.033050612,2.233935338,1.966106509,,26,154,2.228733243,2.019785435
27,0,154,0.052477308,0.033050612,,27,154,0.052477308,0.033050612,1.852385745,2.100187015,,27,154,0.052477308,0.033050612,2.175499051,1.986734823,,27,154,2.159229448,2.040413749
28,0,154,0.051720424,0.033050612,,28,154,0.051720424,0.033050612,1.804260081,2.113939224,,28,154,0.051720424,0.033050612,2.10675214,2.007363137,,28,154,2.100036277,2.064476581
29,0,154,0.051215834,0.033050612,,29,154,0.051215834,0.033050612,1.766452107,2.131125951,,29,154,0.051215834,0.033050612,2.048315853,2.031425969,,29,154,2.047971504,2.085104895
30,0,154,0.05045895,0.033302907,,30,154,0.05045895,0.033302907,1.725202547,2.138002056,,30,154,0.05045895,0.033302907,1.99675567,2.052054283,,30,154,1.999088956,2.099109399
31,0,154,0.04995436,0.033302907,,31,154,0.04995436,0.033302907,1.683952987,2.151754265,,31,154,0.04995436,0.033302907,1.948630006,2.065806492,,31,154,1.947024183,2.119737712
32,0,154,0.049449771,0.033302907,,32,154,0.049449771,0.033302907,1.649579532,2.165506474,,32,154,0.049449771,0.033302907,1.897069823,2.086434805,,32,154,1.901835516,2.133489921
33,0,154,0.048945181,0.033302907,,33,154,0.048945181,0.033302907,1.611771559,2.172382579,,33,154,0.048945181,0.033302907,1.852385745,2.100187015,,33,154,1.853205262,2.147242131
34,0,154,0.048188297,0.033302907,,34,154,0.048188297,0.033302907,1.577398103,2.182693202,,34,154,0.048188297,0.033302907,1.804260081,2.113939224,,34,154,1.814640404,2.164428858
35,0,154,0.047683708,0.033555202,,35,154,0.047683708,0.033555202,1.543024648,2.196445411,,35,154,0.047683708,0.033555202,1.766452107,2.131125951,,35,154,1.772886255,2.171557258
36,0,154,0.047179118,0.033555202,,36,154,0.047179118,0.033555202,1.515527298,2.203321516,,36,154,0.047179118,0.033555202,1.725202547,2.138002056,,36,154,1.731132105,2.185309467
37,0,154,0.046674529,0.033555202,,37,154,0.046674529,0.033555202,1.481153842,2.21019762,,37,154,0.046674529,0.033555202,1.683952987,2.151754265,,37,154,1.696254061,2.199061676
38,0,154,0.046169939,0.033555202,,38,154,0.046169939,0.033555202,1.453656492,2.220508243,,38,154,0.046169939,0.033555202,1.649579532,2.165506474,,38,154,1.657941498,2.20593778
39,0,154,0.04566535,0.033807496,,39,154,0.04566535,0.033807496,1.426159141,2.227384348,,39,154,0.04566535,0.033807496,1.611771559,2.172382579,,39,154,1.623063453,2.216500698
40,0,154,0.04516076,0.033807496,,40,154,0.04516076,0.033807496,1.402096309,2.234260452,,40,154,0.04516076,0.033807496,1.577398103,2.182693202,,40,154,1.588185408,2.230252907
41,0,154,0.044908465,0.033807496,,41,154,0.044908465,0.033807496,1.374598958,2.244571075,,41,154,0.044908465,0.033807496,1.543024648,2.196445411,,41,154,1.560435763,2.237129012
42,0,154,0.044403876,0.034059791,,42,154,0.044403876,0.034059791,1.347101608,2.25144718,,42,154,0.044403876,0.034059791,1.515527298,2.203321516,,42,154,1.525557718,2.244257411
43,0,154,0.043899286,0.034059791,,43,154,0.043899286,0.034059791,1.326480362,2.25144718,,43,154,0.043899286,0.034059791,1.481153842,2.21019762,,43,154,1.497555778,2.254568034
