Region,"Softwood/
Hardwood","Saw log/
Pulpwood/
All","Year after 
production","Fraction: 
in use","Fraction: 
landfills","Fraction: 
energy","Fraction: 
emitted"
North Central,Softwood,Saw log,0,0.630,0.000,0.249,0.121
North Central,Softwood,Saw log,1,0.599,0.016,0.257,0.127
North Central,Softwood,Saw log,2,0.570,0.032,0.265,0.133
North Central,Softwood,Saw log,3,0.544,0.045,0.272,0.138
North Central,Softwood,Saw log,4,0.520,0.058,0.279,0.143
North Central,Softwood,Saw log,5,0.499,0.069,0.285,0.147
North Central,Softwood,Saw log,6,0.478,0.080,0.291,0.151
North Central,Softwood,Saw log,7,0.459,0.090,0.296,0.154
North Central,Softwood,Saw log,8,0.442,0.099,0.301,0.158
North Central,Softwood,Saw log,9,0.425,0.107,0.306,0.162
North Central,Softwood,Saw log,10,0.410,0.115,0.310,0.165
North Central,Softwood,Saw log,11,0.396,0.122,0.314,0.168
North Central,Softwood,Saw log,12,0.383,0.129,0.318,0.171
North Central,Softwood,Saw log,13,0.371,0.135,0.321,0.173
North Central,Softwood,Saw log,14,0.359,0.140,0.324,0.176
North Central,Softwood,Saw log,15,0.349,0.145,0.327,0.178
North Central,Softwood,Saw log,16,0.339,0.150,0.330,0.181
North Central,Softwood,Saw log,17,0.330,0.154,0.332,0.183
North Central,Softwood,Saw log,18,0.322,0.159,0.335,0.185
North Central,Softwood,Saw log,19,0.313,0.162,0.337,0.187
North Central,Softwood,Saw log,20,0.306,0.166,0.339,0.189
North Central,Softwood,Saw log,21,0.298,0.170,0.341,0.191
North Central,Softwood,Saw log,22,0.291,0.173,0.343,0.193
North Central,Softwood,Saw log,23,0.285,0.176,0.345,0.195
North Central,Softwood,Saw log,24,0.278,0.179,0.347,0.196
North Central,Softwood,Saw log,25,0.272,0.181,0.348,0.198
North Central,Softwood,Saw log,26,0.266,0.184,0.350,0.200
North Central,Softwood,Saw log,27,0.260,0.186,0.352,0.201
North Central,Softwood,Saw log,28,0.255,0.189,0.353,0.203
North Central,Softwood,Saw log,29,0.250,0.191,0.355,0.205
North Central,Softwood,Saw log,30,0.245,0.193,0.356,0.206
North Central,Softwood,Saw log,31,0.240,0.195,0.357,0.208
North Central,Softwood,Saw log,32,0.235,0.197,0.359,0.209
North Central,Softwood,Saw log,33,0.231,0.199,0.360,0.211
North Central,Softwood,Saw log,34,0.226,0.201,0.361,0.212
North Central,Softwood,Saw log,35,0.222,0.202,0.362,0.213
North Central,Softwood,Saw log,36,0.218,0.204,0.363,0.215
North Central,Softwood,Saw log,37,0.214,0.205,0.364,0.216
North Central,Softwood,Saw log,38,0.211,0.207,0.365,0.217
